orientation,head_angle,torso,aspect,thigh_fold,ankle_hip,fall_score,sit_score,state
0.25,89.1,2.3,0.38,0.77,1.51,0,0,NORMAL
0.23,86.8,1.6,0.27,0.8,1.53,0,0,NORMAL
